uc_id,share_intervals_sync_positive_burden_q95,mean_tb_night_anom_during_sync_positive_q95,total_weighted_burden_q95,n_sync_positive_intervals_q95,mean_t2m_c,mean_ring_veg,country,wb_income,un_sdg_reg,population_2025,developing_economy,baseline_heat_tertile,baseline_veg_tertile
2376,0.026465028355387523,1.2889343590371038,3027188.0568646253,28,16.439397686776278,949.0226843100189,Iran,Lower Middle,Central and Southern Asia,83878.48335,1,middle,lower_veg
2389,0.02551984877126654,1.372212642494265,22648007.977520086,27,24.403850755796334,975.1843100189036,Bangladesh,Lower Middle,Central and Southern Asia,611286.5341,1,hotter,lower_veg
2391,0.014177693761814745,0.5835284853560881,3698988.6555779586,15,27.89679333253303,1047.4829867674857,Thailand,Upper Middle,Eastern and South-Eastern Asia,422600.1813,1,hotter,middle
2399,0.027410207939508508,1.387649376942502,8264310.334135823,29,18.551265130823186,904.8024574669187,Australia,High income,Australia and New Zealand,205366.156,0,middle,lower_veg
2400,0.03213610586011342,1.6380118916773538,4126803.197934282,34,15.070815204366854,1120.531190926276,United States,High income,Northern America,74099.92886,0,middle,middle
2401,0.030245746691871456,1.2154844464695402,26116718.181716617,32,24.811587831985978,1251.569943289225,México,Upper Middle,Latin America and the Caribbean,671458.5658,1,hotter,higher_veg
2408,0.023629489603024575,2.920760109866369,28333319.891053114,25,7.634336531113121,1067.1275992438564,Canada,High income,Northern America,388026.6619,0,cooler,middle
242,0.03780718336483932,2.6302907708166052,5319702.134878843,40,11.144619997063527,1112.9243856332703,Belgium,High income,Europe,50561.9207,0,cooler,middle
2423,0.036862003780718335,2.9133682813041486,16457613.382284688,39,10.975522031852682,1159.336483931947,Netherlands,High income,Europe,144846.1183,0,cooler,higher_veg
2424,0.035916824196597356,3.465701711040376,9769404.999894023,38,10.538141788711929,1055.7211720226844,Germany,High income,Europe,74181.11156,0,cooler,middle
2429,0.036862003780718335,2.9425887938807658,6578623.421464464,39,9.01677743867277,951.1068052930057,Poland,High income,Europe,57324.57494,0,cooler,lower_veg
2433,0.03497164461247637,2.392371179935215,11505009.243180854,37,10.252504573141795,1039.5879017013233,Romania,High income,Europe,129974.0602,0,cooler,middle
244,0.03969754253308128,2.4556746579980433,224197399.03634462,42,11.025607381339812,1067.7930056710775,Netherlands,High income,Europe,2173754.285,0,cooler,middle
2444,0.026465028355387523,1.1200589325525434,11924486.233046487,28,20.392714334123426,1495.2164461247637,Uganda,Low income,Sub-Saharan Africa,380225.0899,1,middle,higher_veg
2447,0.026465028355387523,1.4761647555586157,13792686.318287412,28,19.366306300172553,1330.4243856332703,Kenya,Lower Middle,Sub-Saharan Africa,333699.8381,1,middle,higher_veg
2454,0.02930056710775047,1.9011337536425776,52602825.338316485,31,14.093051132683133,951.8846880907372,Uzbekistan,Lower Middle,Central and Southern Asia,892554.4193,1,cooler,lower_veg
246,0.0330812854442344,3.126497307977084,24686804.07547163,35,10.980719930912734,1248.124763705104,Germany,High income,Europe,225599.8294,0,cooler,higher_veg
2467,0.03497164461247637,2.4107526469251415,6354769.095119361,37,10.810686931574075,1115.8941398865784,South Korea,High income,Eastern and South-Eastern Asia,71243.52484,0,cooler,middle
