uc_id,mean_tb_night_anom_DHD,mean_tb_night_anom_extreme_DHD,mean_tb_night_anom_moist_low_demand,mean_dT_night_anom_DHD,mean_dT_night_anom_extreme_DHD,mean_dT_night_anom_moist_low_demand,mean_tb_day_anom_DHD,mean_tb_day_anom_extreme_DHD,mean_tb_day_anom_moist_low_demand,n_rows_DHD,n_rows_extreme_DHD,n_rows_moist_low_demand,tb_penalty_DHD_minus_MLD,tb_penalty_extremeDHD_minus_MLD,mean_t2m_c,mean_ring_veg,country,wb_income,un_sdg_reg,population_2025,developing_economy,baseline_heat_tertile,baseline_veg_tertile
746,0.08446123505522249,0.4058815696879553,-0.49440900037305147,-0.02574833514134295,-0.02368189528306482,0.02733429255048705,1.4288339640258294,1.6231933016331466,-1.1321366436452347,68,58,187,0.578870235428274,0.9002905700610068,19.075213015472087,1511.117202268431,Kenya,Lower Middle,Sub-Saharan Africa,190856.9178,1,middle,higher_veg
7460,1.11411848622778,1.7601388598751249,-1.3909715305565997,-0.0682266616671228,-0.02394217954692185,0.024066520579125023,2.2259863346568243,2.4205508138387577,-1.4683327714440324,48,33,135,2.5050900167843797,3.1511103904317244,10.197131055447489,1249.0879017013233,United States,High income,Northern America,359036.7811,0,cooler,higher_veg
7461,0.5262320551876699,0.877743879476557,-0.4200063468669581,-0.018297077558563232,-0.03283009378204984,0.008021335902642618,1.5437314955156074,2.13153135856054,-1.535785025837048,65,52,190,0.946238402054628,1.297750226343515,21.010366896512043,1080.093572778828,Brazil,Upper Middle,Latin America and the Caribbean,55612.01011,1,hotter,middle
7466,0.20606145442468154,0.5586800046818785,-0.3134981076780123,-0.008113436049546351,-0.017109206307485043,0.019467893051368867,1.2692131634473462,1.1325050541135853,-0.7454492657924356,56,43,183,0.5195595621026938,0.8721781123598908,24.58847417140355,914.2051039697543,Bangladesh,Lower Middle,Central and Southern Asia,71235.51123,1,hotter,lower_veg
7468,0.1994885928258187,0.20737315912702892,0.11533250640362046,-0.06789799942432515,-0.03502113086189968,0.06791250967342695,0.9186352998453815,1.4221309915767582,-0.9969704023198163,72,57,211,0.08415608642219825,0.09204065272340846,23.209060527406592,1605.023629489603,Indonesia,Upper Middle,Eastern and South-Eastern Asia,1888199.564,1,hotter,higher_veg
7469,1.468417724111298,1.6708290305604865,-1.1980541360327148,-0.02484462395316942,-0.012753747926188561,0.009533152413069594,1.988402150833307,2.3688734598310988,-1.5002909301306808,44,37,127,2.6664718601440125,2.8688831665932013,10.581506253657619,949.9829867674858,United States,High income,Northern America,96889.58164,0,cooler,lower_veg
7470,1.4910594122476484,1.4105618392938593,-1.1107515282391098,-0.08027206871378957,-0.10017633947150044,0.08601645378814637,0.51042635487624,1.3720745338705485,-1.2603857725625731,54,54,161,2.601810940486758,2.521313367532969,20.281967183238585,1727.7277882797732,Brazil,Upper Middle,Latin America and the Caribbean,835844.1388,1,middle,higher_veg
7471,0.8314210998998551,0.6607107661643117,-0.18155894044634097,0.029654776733918527,0.004932892418938252,0.005337749483254186,1.2168993664195573,1.1006674482285541,-0.29683872266374833,48,46,155,1.0129800403461962,0.8422697066106526,26.696761197721926,1045.4962192816636,Nigeria,Lower Middle,Sub-Saharan Africa,1322229.41,1,hotter,middle
7473,0.490027374241293,0.38600864244396343,-0.45374094847177604,-0.0638689215182693,-0.028860890734164965,0.03259816038701377,1.0647761640528768,1.2554248772304202,-1.2516624148615134,71,51,187,0.9437683227130691,0.8397495909157395,23.43847003599994,954.2372400756144,Pakistan,Lower Middle,Central and Southern Asia,101795.4538,1,hotter,lower_veg
7474,0.9046599325643742,1.1628611803889106,-1.1903667249652972,-0.020334222301100952,-0.01939394797892573,0.02017106265425403,1.6458427152515607,2.277649655229703,-1.7790408357249523,53,52,163,2.0950266575296714,2.353227905354208,13.997864390359627,1196.9905482041588,India,Lower Middle,Central and Southern Asia,209366.0832,1,cooler,higher_veg
7478,1.2108138296907365,1.9249855840202215,-1.6408247467275452,-0.09099651155344222,-0.08808009300522264,0.13113224309598792,1.8389378091994049,1.9064968180504465,-1.6975672083468194,48,30,129,2.8516385764182814,3.565810330747767,8.752405297314228,1042.0113421550095,United States,High income,Northern America,147384.3248,0,cooler,middle
7479,0.8097908055361125,1.1565639152408165,-0.9226713287670639,-0.04650821921000959,-0.07680319579875688,0.040793740228383765,1.3583919993336229,1.637761961458746,-1.0747627356929474,60,55,188,1.7324621343031765,2.0792352440078803,20.23726054838563,1179.7466918714556,Brazil,Upper Middle,Latin America and the Caribbean,130426.195,1,middle,higher_veg
