high_uc_id,low_uc_id,un_sdg_reg,wb_income,population_quintile,night_temperature_tercile,soil_moisture_tercile,match_distance
8400,8481,Central and Southern Asia,Lower Middle,4,2,0,0.18039351297565337
8626,8766,Central and Southern Asia,Lower Middle,4,2,0,0.6912191531525255
8674,10110,Central and Southern Asia,Lower Middle,4,2,0,0.6944626675596675
8758,10102,Central and Southern Asia,Lower Middle,4,2,0,0.6094726112316364
8860,9968,Central and Southern Asia,Lower Middle,4,2,0,0.6201295510992392
9028,10334,Central and Southern Asia,Lower Middle,4,2,0,0.5599969848193519
9390,8934,Central and Southern Asia,Lower Middle,4,2,0,2.6240708513168176
9464,9612,Central and Southern Asia,Lower Middle,4,2,0,0.7141986742875273
9620,9108,Central and Southern Asia,Lower Middle,4,2,0,2.463241603681248
9692,9908,Central and Southern Asia,Lower Middle,4,2,0,0.1950605674377404
9716,10292,Central and Southern Asia,Lower Middle,4,2,0,1.616516130332048
9774,10164,Central and Southern Asia,Lower Middle,4,2,0,0.5097750428244242
9800,10796,Central and Southern Asia,Lower Middle,4,2,0,1.187957645204007
9814,9414,Central and Southern Asia,Lower Middle,4,2,0,1.1234205051883108
9860,9934,Central and Southern Asia,Lower Middle,4,2,0,0.6730372861210749
9880,10290,Central and Southern Asia,Lower Middle,4,2,0,1.5920168125813086
10760,11180,Central and Southern Asia,Lower Middle,4,2,1,0.6942958376199826
10840,9330,Central and Southern Asia,Lower Middle,4,2,1,1.5496167651760384
10904,9132,Central and Southern Asia,Lower Middle,4,2,1,1.087326985757911
10970,10074,Central and Southern Asia,Lower Middle,4,2,1,1.2542621814417405
11044,11078,Central and Southern Asia,Lower Middle,4,2,1,0.5028196171111307
11118,11018,Central and Southern Asia,Lower Middle,4,2,1,0.6781278009046469
11184,7563,Central and Southern Asia,Lower Middle,4,2,1,0.784134848138377
4317,6798,Central and Southern Asia,Lower Middle,4,2,1,0.7261548717130456
5963,7565,Central and Southern Asia,Lower Middle,4,2,1,0.7230881159920012
6648,7529,Central and Southern Asia,Lower Middle,4,2,1,0.8177609967303726
7538,9420,Central and Southern Asia,Lower Middle,4,2,1,1.460403072627399
8258,6913,Central and Southern Asia,Lower Middle,4,2,1,1.732871805735436
8694,8648,Central and Southern Asia,Lower Middle,4,2,1,1.1869833151655556
11444,10636,Central and Southern Asia,Lower Middle,4,2,2,0.8266874989241493
11514,1016,Central and Southern Asia,Lower Middle,4,2,2,1.3272472006393148
8616,7429,Central and Southern Asia,Lower Middle,4,2,2,0.834996273583653
8680,8866,Central and Southern Asia,Lower Middle,4,2,2,0.8766944114566949
9472,9150,Central and Southern Asia,Lower Middle,4,2,2,0.8183641563140391
3379,181,Eastern and South-Eastern Asia,High income,0,0,1,1.6640466325182524
3433,3740,Eastern and South-Eastern Asia,High income,0,0,1,0.34897748694362263
2084,4734,Eastern and South-Eastern Asia,High income,0,0,2,1.1976723941955918
2467,5595,Eastern and South-Eastern Asia,High income,0,0,2,0.7723950744015823
3741,4939,Eastern and South-Eastern Asia,High income,0,0,2,0.6271300941005128
5374,1651,Eastern and South-Eastern Asia,High income,0,0,2,0.8826878278311588
5475,1745,Eastern and South-Eastern Asia,High income,0,0,2,1.5505510664740039
5572,4697,Eastern and South-Eastern Asia,High income,0,0,2,0.8897262347104644
5791,6058,Eastern and South-Eastern Asia,High income,0,0,2,0.6165444574558963
5910,4170,Eastern and South-Eastern Asia,High income,0,0,2,1.0757011071607405
5967,4806,Eastern and South-Eastern Asia,High income,0,0,2,1.1377581682099678
6148,5033,Eastern and South-Eastern Asia,High income,0,0,2,1.0067829576212544
