model,outcome,term,estimate,std_error_cluster_city,ci95_low,ci95_high,t_stat,p_value,n_obs,n_cities,n_times,p_value_holm_within_model
dhd_duration_inversion_0p25,inversion_0p25,duration_excess_capped,0.002961789657510949,0.0006783405299245218,0.0016322422188588864,0.004291337096163012,4.366228357076798,1.264103230304858e-05,257924,2769,1058,1.264103230304858e-05
dhd_duration_inversion_0p25,inversion_0p25,duration_x_storage,0.0036051753074979142,0.0005518539410084487,0.002523541583121355,0.004686809031874474,6.53284327535992,6.453266438931512e-11,257924,2769,1058,1.9359799316794538e-10
dhd_duration_inversion_0p5,inversion_0p5,z_t2m_true_night_pct_rank,0.006737378470755969,0.0008396381329727336,0.005091687730129411,0.008383069211382528,8.024145410002191,1.0223514531593807e-15,257924,2769,1058,4.089405812637523e-15
dhd_duration_inversion_0p5,inversion_0p5,z_vpd_pct,0.015508527348748516,0.002755654074362083,0.010107445362998832,0.0209096093344982,5.62789338946277,1.824237743128524e-08,257924,2769,1058,5.472713229385573e-08
dhd_duration_inversion_0p5,inversion_0p5,z_rzsm_pct,-0.031021517928150485,0.0037128173159518872,-0.03829863986741618,-0.023744395988884788,-8.355250282546484,6.529412285567173e-17,257924,2769,1058,3.264706142783586e-16
dhd_duration_inversion_0p5,inversion_0p5,duration_excess_capped,0.0018652542986577912,0.0005038651795716428,0.0008776785466973714,0.002852830050618211,3.701891645387211,0.00021399801153402457,257924,2769,1058,0.00021399801153402457
dhd_duration_inversion_0p5,inversion_0p5,duration_x_storage,0.001969882707124645,0.0004167612048054894,0.0011530307457058857,0.002786734668543404,4.726646061127565,2.2825862032022727e-06,257924,2769,1058,4.5651724064045455e-06
post_dhd_memory_raw_night_contrast,raw_night_contrast,raw_day_contrast,0.042040436598097496,0.002115334677081326,0.0378943806310181,0.046186492565176894,19.874130109805417,6.815764170514828e-88,2307336,2769,1057,7.497340587566312e-87
post_dhd_memory_raw_night_contrast,raw_night_contrast,z_t2m_true_night_pct_rank,0.021898564997195873,0.004808215040771393,0.012474463517283945,0.031322666477107804,4.5544063257375935,5.253372749671671e-06,2307336,2769,1057,2.6266863748358355e-05
post_dhd_memory_raw_night_contrast,raw_night_contrast,z_vpd_pct,0.03177024974279325,0.0017820274012861524,0.02827747603627239,0.03526302344931411,17.828148837590003,4.27337674330941e-71,2307336,2769,1057,4.2733767433094105e-70
post_dhd_memory_raw_night_contrast,raw_night_contrast,z_rzsm_pct,-0.03891263045917621,0.0016493942554555582,-0.0421454431998691,-0.03567981771848332,-23.592073472105458,4.6483405032080895e-123,2307336,2769,1057,5.578008603849707e-122
post_dhd_memory_raw_night_contrast,raw_night_contrast,post_dhd_lag1,-0.040076728732479694,0.004142538710735469,-0.04819610460552121,-0.031957352859438175,-9.674436747837763,3.8721794401714545e-22,2307336,2769,1057,3.484961496154309e-21
post_dhd_memory_raw_night_contrast,raw_night_contrast,post_dhd_lag2,-0.02856007398334679,0.004123735397654006,-0.036642595362748644,-0.02047755260394494,-6.92577753645266,4.335873778831526e-12,2307336,2769,1057,3.035111645182068e-11
post_dhd_memory_raw_night_contrast,raw_night_contrast,post_dhd_lag3,-0.027973264600481572,0.004255844187264028,-0.03631471920751907,-0.019631809993444077,-6.572906189609554,4.934254853492445e-11,2307336,2769,1057,2.9605529120954673e-10
post_dhd_memory_raw_night_contrast,raw_night_contrast,post_dhd_lag4,-0.032430704593412275,0.004496046617252196,-0.04124295596322658,-0.02361845322359797,-7.2131602170158615,5.466802778674829e-13,2307336,2769,1057,4.373442222939863e-12
post_dhd_memory_raw_night_contrast,raw_night_contrast,post_dhd_lag1_x_storage,0.003134076566728079,0.003782842196599917,-0.0042802941386077585,0.010548447272063916,0.8284978341272179,0.4073886210208941,2307336,2769,1057,1.0
post_dhd_memory_raw_night_contrast,raw_night_contrast,post_dhd_lag2_x_storage,0.0008776021808864649,0.003824756946706312,-0.006618921434657908,0.008374125796430838,0.22945305887795345,0.8185168009487489,2307336,2769,1057,1.0
post_dhd_memory_raw_night_contrast,raw_night_contrast,post_dhd_lag3_x_storage,-0.0034108471692977723,0.003871279844330035,-0.010998555664184641,0.004176861325589096,-0.881064481632186,0.37828292022342647,2307336,2769,1057,1.0
post_dhd_memory_raw_night_contrast,raw_night_contrast,post_dhd_lag4_x_storage,-0.006540167930402842,0.0042051734732501105,-0.014782307937973058,0.0017019720771673753,-1.5552670946884986,0.11988247071104824,2307336,2769,1057,0.47952988284419296
post_dhd_memory_night_anomaly_contrast,night_anomaly_contrast,day_anomaly_contrast,0.021400105432278594,0.0010957476076390907,0.019252440121305975,0.023547770743251213,19.530141141158854,6.087097159636815e-85,2307336,2769,1057,6.0870971596368155e-84
