rho_raw,rho_harmonized,n_bounded_configurations,fraction_downstream_gain,fraction_downstream_damage,fraction_boundary,minimum_standardized_gain,p05_standardized_gain,median_standardized_gain,p95_standardized_gain,maximum_standardized_gain,bounded_regime
0.78,0.22,1260,0.10873015873015873,0.8912698412698413,0.0,-1.1165172413793103,-0.8468039966816698,-0.3669512195121951,0.0933514289597722,0.3099756097560975,parameter_dependent
0.78,0.23,1260,0.1126984126984127,0.8873015873015873,0.0,-1.0984887039239,-0.8326427836476945,-0.35846701623409233,0.09739377360052871,0.31392682926829263,parameter_dependent
0.78,0.24,1260,0.11825396825396825,0.8817460317460317,0.0,-1.0804601664684899,-0.817147826915656,-0.34956047125285705,0.101436118241285,0.31787804878048775,parameter_dependent
0.78,0.25,1260,0.1261904761904762,0.8738095238095238,0.0,-1.0624316290130795,-0.8011931134973352,-0.3403658536585366,0.10681086402898443,0.3218292682926829,parameter_dependent
0.78,0.26,1260,0.12936507936507938,0.8706349206349207,0.0,-1.0444030915576692,-0.7866370406890751,-0.3295954621368232,0.11331206385045528,0.325780487804878,parameter_dependent
0.78,0.27,1260,0.1373015873015873,0.8626984126984127,0.0,-1.026374554102259,-0.7724670198863673,-0.3192349497230171,0.11864713171781893,0.32973170731707313,parameter_dependent
0.78,0.28,1260,0.14126984126984127,0.8587301587301587,0.0,-1.008346016646849,-0.7580525050742107,-0.30896064019439146,0.12477478140819118,0.33368292682926826,parameter_dependent
0.78,0.29,1260,0.14603174603174604,0.8539682539682539,0.0,-0.9903174791914385,-0.7404425382147838,-0.2984250115634492,0.13097899394668835,0.3376341463414634,parameter_dependent
0.78,0.3,1260,0.15079365079365079,0.8492063492063492,0.0,-0.9722889417360284,-0.7264065100347303,-0.28897135517964734,0.1359688484548125,0.3415853658536585,parameter_dependent
0.78,0.31,1260,0.15396825396825398,0.846031746031746,0.0,-0.9542604042806184,-0.7141157010197798,-0.28066770678770947,0.14091236149952185,0.34553658536585363,parameter_dependent
0.78,0.32,1260,0.1634920634920635,0.8365079365079365,0.0,-0.9362318668252081,-0.7001741825403397,-0.27220132826774157,0.14660044249353957,0.34948780487804876,parameter_dependent
0.78,0.33,1260,0.17142857142857143,0.8285714285714286,0.0,-0.9182033293697979,-0.6859428188393456,-0.2623267886662219,0.1524704272717619,0.3534390243902439,parameter_dependent
0.78,0.34,1260,0.18095238095238095,0.819047619047619,0.0,-0.9001747919143877,-0.6716657575077724,-0.25145992740636347,0.15767285796641387,0.357390243902439,parameter_dependent
0.78,0.35000000000000003,1260,0.18968253968253967,0.8103174603174603,0.0,-0.8821462544589773,-0.6574800914373574,-0.24163263026151516,0.16345821628291643,0.36134146341463413,parameter_dependent
0.78,0.36,1260,0.19523809523809524,0.8047619047619048,0.0,-0.8641177170035671,-0.6430044678055191,-0.23360189669673154,0.16887206280028358,0.36529268292682926,parameter_dependent
0.78,0.37,1260,0.1992063492063492,0.8007936507936508,0.0,-0.846089179548157,-0.6269890653295855,-0.22529009954671952,0.17373189582668716,0.3692439024390244,parameter_dependent
0.78,0.38,1260,0.20793650793650795,0.792063492063492,0.0,-0.8280606420927468,-0.6115112554740291,-0.21587253613666246,0.17856690641222703,0.3731951219512195,parameter_dependent
0.78,0.39,1260,0.21666666666666667,0.7833333333333333,0.0,-0.8100321046373364,-0.5954986875462722,-0.2056344347937567,0.18403543400713418,0.3771463414634144,parameter_dependent
