uc_id,uc_name,lat,lon,lookup_region,calibration_cohort,profile,un_sdg_reg,water_tertile,storage_quartile,mean_water_support_ratio,heat_retention_score,high_green,mean_ring_veg,z_ring_green_support,goes18_2026_core_grid_pixels,goes18_2026_ring_grid_pixels,goes18_2026_grid_eligible,goes19_2026_core_grid_pixels,goes19_2026_ring_grid_pixels,goes19_2026_grid_eligible,paired_2026_grid_eligible,candidate_2022_2024_original,candidate_2022_2024_expansion,candidate_2025_original,candidate_2025_expansion,candidate_2025_combined,candidate_2026_combined,candidate_external_2019_2021,analyzed_derivation_2022_2024_original,analyzed_evaluation_2022_2024_expansion,analyzed_evaluation_2025_original,analyzed_evaluation_2025_expansion,analyzed_calibration_2025_combined,analyzed_holdout_2026_combined,analyzed_external_validation_2021,analyzed_external_calibration_2019_2020
4008,Fresno,36.7876026628218,-119.771347720209,Northern America,original,lower-water/higher-built,Northern America,Low,4,0.0115809625147201,1.0862183888269,,,,53,266,True,32,164,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
4050,Woodland,38.6757363896493,-121.76796417763,Northern America,original,lower-water/higher-built,Northern America,Low,4,0.0388510840366212,1.09457700444801,,,,5,173,True,2,103,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False
4092,Sacramento,38.5933336873671,-121.391662881117,Northern America,original,intermediate,Northern America,Low,3,0.0429131683840355,0.504664392567391,,,,115,330,True,66,194,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
4172,Hemet,33.7574862144599,-116.958181511368,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,863.201323251418,-0.140747697252064,11,210,True,8,145,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
4211,Porterville,36.0721334375192,-119.037528898373,Northern America,original,intermediate,Northern America,Low,3,0.0022843437766214,0.323728694445336,,,,4,183,True,4,117,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
4249,Natoma Station,38.6677744518682,-121.148561860025,Northern America,original,intermediate,Northern America,Low,3,0.0510849212797387,0.273387347139332,,,,4,182,True,3,105,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
4325,Palm Springs,33.8275310059352,-116.531792091578,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,499.34404536862,-1.27477596776874,8,198,True,4,130,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
4363,Rocklin,38.8049122487546,-121.266526697213,Northern America,original,intermediate,Northern America,Low,3,0.0469241924111262,0.507966416169791,,,,4,185,True,3,103,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
4401,Palm Desert,33.7560062933531,-116.403302695956,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,486.170132325142,-1.31583489590552,12,239,True,7,162,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
4439,Indio,33.7213715438106,-116.25261472784,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,153.85538752363,-2.35155504834352,16,230,True,10,162,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
4477,Chico,39.7444923584803,-121.835323895732,Northern America,original,intermediate,Northern America,Low,3,0.0429952111080757,0.475597096525228,,,,6,188,True,4,107,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
4514,Yuma,32.6941508373814,-114.640506969737,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,197.009451795841,-2.21705745314043,6,194,True,4,142,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
4551,Reno,39.5206213042833,-119.790215365281,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,522.170132325142,-1.20363426060106,16,217,True,9,130,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
4588,Medford,42.3419889196774,-122.874019910418,Northern America,original,intermediate,Northern America,Low,3,0.0962109673361574,0.636943017400854,,,,7,183,True,4,103,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
4699,Phoenix,33.5588987387121,-112.139832230551,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,390.76843100189,-1.61317188194982,199,392,True,161,320,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
4736,Mesa,33.3573545048479,-111.821408282243,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,461.630434782609,-1.39231738630695,134,384,True,106,312,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
4772,Eugene,44.0636006357657,-123.083106972364,Northern America,original,intermediate,Northern America,Low,3,0.239835722153595,0.547462099701,,,,18,210,True,8,110,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
4843,Tucson,32.2324148999177,-110.904426490654,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,405.934782608696,-1.56590315179609,38,254,True,32,211,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
4941,Portland,45.5262529560943,-122.667185297053,Northern America,original,intermediate,Northern America,Low,3,0.245428743463034,0.752026161821516,,,,110,304,True,63,169,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
4974,Tacoma,47.2195420777419,-122.471363771415,Northern America,original,intermediate,Northern America,Low,3,0.270034541599399,0.627834333792262,,,,24,185,True,13,101,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,False,False
5098,Seattle,47.6219345359103,-122.271883894175,Northern America,original,intermediate,Northern America,Low,3,0.280474677196546,0.327675939558655,,,,131,335,True,79,190,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,False,False
5128,Auburn,47.294784268223,-122.217792820285,Northern America,original,intermediate,Northern America,Low,2,0.249460738028492,0.0669647251449623,,,,4,153,True,1,88,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False
5158,Yakima,46.5917261096848,-120.541590964133,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,749.891304347826,-0.493899255789371,6,158,True,4,96,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
5187,Nampa,43.5739192587935,-116.564067440702,Northern America,original,intermediate,Northern America,Low,3,0.0195449989647271,0.36194665449754,,,,8,156,True,5,108,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
5216,Boise,43.618007468512,-116.294855761122,Northern America,original,lower-water/higher-built,Northern America,Low,4,0.0266359604186773,1.16093522519307,,,,25,203,True,18,139,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
5299,Spanish Fork,40.1032592222908,-111.636734893077,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,640.019848771267,-0.836333897942578,1,149,False,2,122,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False
5325,Bellingham,48.7465903185486,-122.474591817436,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,829.595463137996,-0.24548655432647,5,136,True,2,76,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False
5377,Salt Lake City,40.6520807287323,-111.92366649473,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,895.754253308129,-0.0392904907691608,69,255,True,59,210,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
5403,Wenatchee,47.4215732880327,-120.305622868748,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,736.918714555766,-0.534330722906407,5,138,True,3,88,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
5428,South Valley,35.0797876493127,-106.710447349876,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,114.397920604915,-2.47453151655976,11,161,True,11,181,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
5453,Albuquerque,35.116735599952,-106.577504226298,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,488.400756143667,-1.30888274563986,28,130,True,30,198,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
5503,Bountiful,40.8775065383315,-111.892593449489,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,670.375236294896,-0.741725737801905,7,167,True,5,135,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
5527,Layton,41.1045557722426,-112.016406383791,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,681.105860113421,-0.708281770867135,13,192,True,13,157,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
5551,Ogden,41.2187251137501,-111.964994698228,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,759.460302457467,-0.464075709480236,10,185,True,7,144,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
5575,Grand Junction,39.0848940438378,-108.520846509143,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,451.141776937618,-1.42500722168747,8,173,True,7,157,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
5644,Midland,32.0050517103698,-102.108329263896,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,357.852551984877,-1.71576028576408,0,0,False,11,195,True,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False
5752,Lubbock,33.5511296116384,-101.896116533405,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,511.024574669187,-1.2383714453183,0,0,False,17,214,True,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False
5854,Mineral Palace,38.2576108435187,-104.623903157272,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,160.361058601134,-2.33127892534414,0,39,False,6,163,True,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False
5874,Amarillo,35.1836431750187,-101.861433811183,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,632.773156899811,-0.858919548826827,0,0,False,15,200,True,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False
5913,Colorado Springs,38.8733102213441,-104.770493180244,Northern America,original,intermediate,Northern America,Low,3,0.14732113548637,0.562713817971251,,,,29,190,True,31,204,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
5932,Denver,39.7230105499906,-104.97736581355,Northern America,original,intermediate,Northern America,Low,3,0.104382222268488,0.795769706122217,,,,147,290,True,149,305,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
5988,Boulder,40.0163988200191,-105.257339364697,Northern America,original,lower-water/higher-built,Northern America,Low,4,0.107297838488123,1.47492942218736,,,,5,148,True,5,153,True,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True
6006,Longmont,40.1718444360412,-105.111032705803,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,869.765595463138,-0.120288933016886,5,144,True,5,148,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
6042,Loveland,40.4198867594313,-105.078357261018,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,842.706049149338,-0.204624996557406,3,141,True,5,146,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
6060,Fort Collins,40.5498328127234,-105.07805332888,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,831.079395085066,-0.240861606903975,9,152,True,10,160,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
6078,Greeley,40.4064829393895,-104.714725190787,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,738.597353497164,-0.529098935248859,5,142,True,5,160,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
6457,Billings,45.7772045053366,-108.558299865807,Northern America,expansion,lower_vegetation_support,Northern America,,,,,0,549.26370510397,-1.11919214731072,4,138,True,4,128,True,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True
