metric,veg_group,un_sdg_reg,total_person_intervals,represented_population,n_cities,mean_event_interval_share,burden_share,population_share
true_failure_t2m_ge25,low_veg,Eastern and South-Eastern Asia,2434385770.93999,238431964.35072,1022,0.00830870194104003,0.2934028792620721,0.3153182738554892
true_failure_t2m_ge25,low_veg,Europe,35143564.312189996,60214319.3795,366,0.000423523092338364,0.0042356569282554065,0.07963141728849217
true_failure_t2m_ge25,low_veg,Latin America and the Caribbean,708018037.51503,44567009.25012,153,0.009705079259176892,0.0853334476631364,0.05893837458378103
true_failure_t2m_ge25,low_veg,Northern Africa and Western Asia,560725633.17521,88350044.80646001,193,0.005489877273573171,0.06758111931706268,0.11683997025855974
true_failure_t2m_ge25,low_veg,Northern America,154874826.55383,20886449.357359998,121,0.004140042806480339,0.018666195217926247,0.027621628569252526
true_failure_t2m_ge25,low_veg,Oceania,960666.50576,213232.14781,2,0.007561436672967864,0.0001157837521748997,0.00028199236189258324
true_failure_t2m_ge25,low_veg,Sub-Saharan Africa,1672908929.62624,119341527.34073,257,0.00917596522327569,0.2016263414594488,0.15782516619711365
true_failure_t2m_ge28,high_veg,Australia and New Zealand,0.0,15832493.92726,23,0.0,0.0,0.007862146492841695
true_failure_t2m_ge28,high_veg,Central and Southern Asia,3446682888.19417,470098539.14864,454,0.005054837071025874,0.6499209094181434,0.23344291795330047
true_failure_t2m_ge28,high_veg,Eastern and South-Eastern Asia,1519870317.1558,711869352.66036,746,0.0016889066831545178,0.28659308986823506,0.35350218102681014
true_failure_t2m_ge28,high_veg,Europe,0.0,223217235.13468,642,0.0,0.0,0.11084587244554604
true_failure_t2m_ge28,high_veg,Latin America and the Caribbean,94171323.73155001,220584877.94395,367,0.0005537155601798674,0.017757337807420427,0.10953868875420285
true_failure_t2m_ge28,high_veg,Northern Africa and Western Asia,3616145.42478,83418939.76188,80,5.907372400756144e-05,0.000681875472533717,0.04142442294300885
true_failure_t2m_ge28,high_veg,Northern America,224744502.75743,131938633.7179,247,0.0023227692613823347,0.04237876136477591,0.06551847555548268
true_failure_t2m_ge28,high_veg,Sub-Saharan Africa,14149167.48122,156802192.46027,212,8.025109676498912e-05,0.002668026068891451,0.07786529482880723
true_failure_t2m_ge28,low_veg,Australia and New Zealand,0.0,1860601.33045,17,0.0,0.0,0.0024605828394205784
true_failure_t2m_ge28,low_veg,Central and Southern Asia,923462063.67934,182297701.19666,639,0.005508370534063444,0.5143972449147568,0.2410825940459984
true_failure_t2m_ge28,low_veg,Eastern and South-Eastern Asia,292108758.05183,238431964.35072,1022,0.0014094458769083934,0.16271371209192237,0.3153182738554892
true_failure_t2m_ge28,low_veg,Europe,297750.98027,60214319.3795,366,5.164915760223951e-06,0.00016585660629231833,0.07963141728849217
true_failure_t2m_ge28,low_veg,Latin America and the Caribbean,68928451.34502,44567009.25012,153,0.001297305311538604,0.03839530270128236,0.05893837458378103
true_failure_t2m_ge28,low_veg,Northern Africa and Western Asia,350592958.71061003,88350044.80646001,193,0.00294817673389032,0.19529124058297317,0.11683997025855974
true_failure_t2m_ge28,low_veg,Northern America,72722122.97004001,20886449.357359998,121,0.000906122576512678,0.04050849641954559,0.027621628569252526
true_failure_t2m_ge28,low_veg,Oceania,0.0,213232.14781,2,0.0,0.0,0.00028199236189258324
true_failure_t2m_ge28,low_veg,Sub-Saharan Africa,87119250.59018,119341527.34073,257,0.0005921163931652851,0.04852814668322739,0.15782516619711365
true_failure_local_wetbulb_p90,high_veg,Australia and New Zealand,86666977.98996,15832493.92726,23,0.004273855510807923,0.005785793032012095,0.007862146492841695
true_failure_local_wetbulb_p90,high_veg,Central and Southern Asia,2684478438.06874,470098539.14864,454,0.004542691305180584,0.17921285594340355,0.23344291795330047
true_failure_local_wetbulb_p90,high_veg,Eastern and South-Eastern Asia,5835179796.67116,711869352.66036,746,0.006582048176284861,0.38955024613906386,0.35350218102681014
true_failure_local_wetbulb_p90,high_veg,Europe,2502772016.49395,223217235.13468,642,0.009719743947611728,0.16708233319757684,0.11084587244554604
true_failure_local_wetbulb_p90,high_veg,Latin America and the Caribbean,1904162315.79507,220584877.94395,367,0.005745764719819926,0.12711980172913626,0.10953868875420285
true_failure_local_wetbulb_p90,high_veg,Northern Africa and Western Asia,291206558.14201,83418939.76188,80,0.005115784499054821,0.019440632569067428,0.04142442294300885
true_failure_local_wetbulb_p90,high_veg,Northern America,862364804.32384,131938633.7179,247,0.005521838623022585,0.05757053484070202,0.06551847555548268
true_failure_local_wetbulb_p90,high_veg,Sub-Saharan Africa,812442894.81723,156802192.46027,212,0.0040660555694261155,0.05423780254903791,0.07786529482880723
true_failure_local_wetbulb_p90,low_veg,Australia and New Zealand,6391135.4230700005,1860601.33045,17,0.0037251195374179923,0.0015488008544492244,0.0024605828394205784
true_failure_local_wetbulb_p90,low_veg,Central and Southern Asia,742921135.61405,182297701.19666,639,0.004011466403968867,0.18003638062088145,0.2410825940459984
true_failure_local_wetbulb_p90,low_veg,Eastern and South-Eastern Asia,1530876038.1935601,238431964.35072,1022,0.005469463855666824,0.3709860547550567,0.3153182738554892
true_failure_local_wetbulb_p90,low_veg,Europe,546721251.66227,60214319.3795,366,0.007502040141725288,0.13249012666255294,0.07963141728849217
true_failure_local_wetbulb_p90,low_veg,Latin America and the Caribbean,258181956.01139998,44567009.25012,153,0.005034780137637916,0.06256672838294333,0.05893837458378103
true_failure_local_wetbulb_p90,low_veg,Northern Africa and Western Asia,294397933.11038,88350044.80646001,193,0.003952123960547323,0.07134315581916094,0.11683997025855974
