metric,veg_group,year,mean_frac_event,p90_frac_event,max_frac_event,mean_concurrent_exposed_population,max_concurrent_exposed_population,represented_population,n_cities,population_exposed_at_least_once,cities_exposed_at_least_once,share_represented_pop_exposed_at_least_once,period
true_failure_local_t2m_p95,high_veg,2003,0.007915836379897385,0.025081198123421147,0.06892818477084085,13768874.852317607,66927242.78808,2013762264.75494,2771,413479069.18023,618,0.20532665469851147,2003-2008
true_failure_local_t2m_p95,high_veg,2004,0.0016318076977390047,0.005593648502345724,0.012991699747383616,5319815.669581739,58874644.205970004,2013762264.75494,2771,220519113.53209,183,0.10950603126875334,2003-2008
true_failure_local_t2m_p95,high_veg,2005,0.0054132082280765065,0.015698303861421868,0.03644893540238181,15537718.045524566,131308530.75265,2013762264.75494,2771,509582641.25558,498,0.25305004973742146,2003-2008
true_failure_local_t2m_p95,high_veg,2006,0.005460279603972823,0.013713460844460484,0.07325875135330205,8061311.266828043,74212523.01609,2013762264.75494,2771,259729153.56074,469,0.12897706849837468,2003-2008
true_failure_local_t2m_p95,high_veg,2007,0.0038676980528140835,0.009743774810537712,0.04330566582461205,6686004.716338913,67045049.94103,2013762264.75494,2771,253543715.07631,388,0.12590548522725667,2003-2008
true_failure_local_t2m_p95,high_veg,2008,0.0012552366905684653,0.002526163839769036,0.00866113316492241,4152927.156782609,63919247.25236,2013762264.75494,2771,181132644.48216,128,0.08994738239580753,2003-2008
true_failure_local_t2m_p95,high_veg,2009,0.0038676980528140835,0.008300252616383976,0.031035727174305305,13795217.19526826,102516431.04952,2013762264.75494,2771,397945926.67489,343,0.197613161016957,other
true_failure_local_t2m_p95,high_veg,2010,0.0062448025355781155,0.014976542764345003,0.04727535185853483,17699446.10607891,106296840.38442001,2013762264.75494,2771,497350141.64634,556,0.24697559903222432,other
true_failure_local_t2m_p95,high_veg,2011,0.0032086987902656392,0.00920245398773006,0.033201010465535905,4754761.087438695,42062830.38636,2013762264.75494,2771,164767655.52163,265,0.08182080795007896,other
true_failure_local_t2m_p95,high_veg,2012,0.008943561420300316,0.030313966077228437,0.050162396246842295,13628766.74770326,67650205.98648,2013762264.75494,2771,389289328.15726,674,0.19331444181403093,other
true_failure_local_t2m_p95,high_veg,2013,0.006903801798126559,0.013533020570191267,0.07758931793576326,14593166.304256523,148985933.1224,2013762264.75494,2771,373683885.60688,579,0.1855650451630419,other
true_failure_local_t2m_p95,high_veg,2014,0.005381827310812296,0.015517863587152653,0.03392277156261277,13963523.690595,81123338.54877,2013762264.75494,2771,448838290.34067,492,0.2228854409461736,other
true_failure_local_t2m_p95,high_veg,2015,0.008135502800746866,0.01804402742692169,0.06748466257668712,18314667.485570002,107452446.11086,2013762264.75494,2771,448612225.75459003,615,0.22277318112780448,2015-2020
true_failure_local_t2m_p95,high_veg,2016,0.0047071375896317455,0.012089498376037532,0.020209310718152292,11868023.083192607,45489028.41515,2013762264.75494,2771,407161014.57596,432,0.20218921652378288,2015-2020
true_failure_local_t2m_p95,high_veg,2017,0.006087897949257056,0.0138939011187297,0.06062793215445687,13501834.04683674,144487769.6238,2013762264.75494,2771,451504322.95627,581,0.22420934727924038,2015-2020
true_failure_local_t2m_p95,high_veg,2018,0.010073274441811934,0.026885600866113316,0.1079032840129917,19493938.77995348,187981167.78818,2013762264.75494,2771,561342188.06343,748,0.2787529580269204,2015-2020
true_failure_local_t2m_p95,high_veg,2019,0.009916369855490876,0.015698303861421868,0.056658246120534106,22471420.940543912,137996420.67471,2013762264.75494,2771,617062142.86194,823,0.30642253738776454,2015-2020
true_failure_local_t2m_p95,high_veg,2020,0.006943027944706824,0.01732226632984482,0.05629736557199567,14306092.07775935,91282562.00497,2013762264.75494,2771,454473937.83053,601,0.22568400738497107,2015-2020
true_failure_local_t2m_p95,high_veg,2021,0.004887577863900962,0.01335258029592205,0.02850956333453627,11619217.860878479,95137757.32811,2013762264.75494,2771,358657489.90518,434,0.1781031933026245,2021-2025
true_failure_local_t2m_p95,high_veg,2022,0.016012113034063986,0.0694695055936485,0.1378563695416817,24366338.59454391,188403834.99824,2013762264.75494,2771,606440755.75076,1083,0.301148137674811,2021-2025
true_failure_local_t2m_p95,high_veg,2023,0.012026736541509108,0.025802959220498016,0.0736196319018405,30827272.889343914,105982728.63961,2013762264.75494,2771,667968285.25888,923,0.33170165959990655,2021-2025
true_failure_local_t2m_p95,high_veg,2024,0.01642791018781479,0.03374233128834356,0.059906171057380005,41868720.34392087,173409875.72071,2013762264.75494,2771,975065250.02053,1140,0.48420077537761796,2021-2025
true_failure_local_t2m_p95,high_veg,2025,0.012795569014482294,0.049079754601226995,0.07650667629014796,19713553.917947173,103454276.90714,2013762264.75494,2771,517420891.93645,946,0.2569423913598939,2021-2025
true_failure_local_t2m_p95,low_veg,2003,0.0034452990111442476,0.011191335740072202,0.03032490974729242,2216936.045433261,20942318.60759,756162849.15981,2770,78304883.1543,333,0.10355558097214955,2003-2008
true_failure_local_t2m_p95,low_veg,2004,0.0019149270130277823,0.00631768953068592,0.01407942238267148,1591961.879445,11932842.64739,756162849.15981,2770,59673376.41665,216,0.07891603836786543,2003-2008
true_failure_local_t2m_p95,low_veg,2005,0.004002511379689217,0.011732851985559567,0.02707581227436823,2334721.935218043,17767245.41097,756162849.15981,2770,83338422.85014,394,0.11021226835296029,2003-2008
true_failure_local_t2m_p95,low_veg,2006,0.002809606027311254,0.010108303249097473,0.0184115523465704,2149086.887713913,10835852.59964,756162849.15981,2770,75824713.67667,256,0.10027564004357077,2003-2008
true_failure_local_t2m_p95,low_veg,2007,0.0026369486736776016,0.00740072202166065,0.01768953068592058,2020039.6256552173,16601844.224299999,756162849.15981,2770,73007611.22222,263,0.09655011655669206,2003-2008
true_failure_local_t2m_p95,low_veg,2008,0.0013341704598964054,0.003068592057761733,0.016245487364620937,941259.0520215217,9416985.33258,756162849.15981,2770,36673882.81506,138,0.048499979674760794,2003-2008
true_failure_local_t2m_p95,low_veg,2009,0.0034923873803170617,0.009566787003610109,0.0296028880866426,2287379.839522826,18376806.75724,756162849.15981,2770,84155737.15549,372,0.11129313910224152,other
true_failure_local_t2m_p95,low_veg,2010,0.008177680113012087,0.026895306859205777,0.04693140794223827,6263294.590251522,33082516.52926,756162849.15981,2770,146596256.04539,568,0.19386863055792347,other
true_failure_local_t2m_p95,low_veg,2011,0.001789358028566944,0.0059566787003610105,0.026714801444043323,1331398.3767684782,17241054.42986,756162849.15981,2770,42543210.92604,173,0.0562619691952742,other
true_failure_local_t2m_p95,low_veg,2012,0.005305289593470413,0.01895306859205776,0.02635379061371841,3104318.3633069564,17718016.83071,756162849.15981,2770,85506021.84388,413,0.11307884530281767,other
true_failure_local_t2m_p95,low_veg,2013,0.004339978025427719,0.01624548736462094,0.032490974729241874,2683707.6366691305,16575479.32107,756162849.15981,2770,74559994.04727,339,0.09860309076294257,other
true_failure_local_t2m_p95,low_veg,2014,0.0034923873803170617,0.009747292418772563,0.027436823104693142,2069424.0250163043,12888450.7142,756162849.15981,2770,75460091.48536,366,0.09979343942803517,other
true_failure_local_t2m_p95,low_veg,2015,0.004457698948359755,0.011371841155234656,0.023826714801444042,3484052.210459131,18600806.21426,756162849.15981,2770,120758193.93187,418,0.15969866023707358,2015-2020
true_failure_local_t2m_p95,low_veg,2016,0.0054622508240464605,0.01588447653429603,0.02888086642599278,3759172.610755869,18008905.31778,756162849.15981,2770,112311364.63371,451,0.1485280118674195,2015-2020
true_failure_local_t2m_p95,low_veg,2017,0.005407314393344844,0.018050541516245487,0.04404332129963899,3285106.14237,31499149.2851,756162849.15981,2770,113099841.96804,472,0.1495707466899595,2015-2020
true_failure_local_t2m_p95,low_veg,2018,0.0055171872547480775,0.017509025270758122,0.04909747292418772,3633634.7727547823,36865690.38215,756162849.15981,2770,119555907.07859,478,0.15810867620834765,2015-2020
true_failure_local_t2m_p95,low_veg,2019,0.007557683252236698,0.014981949458483756,0.04693140794223827,4494904.681556956,23066035.40363,756162849.15981,2770,147090818.11041,661,0.19452267229717252,2015-2020
true_failure_local_t2m_p95,low_veg,2020,0.006278449223041909,0.018411552346570395,0.035740072202166066,5846973.606127826,30523321.215409998,756162849.15981,2770,155960630.22931,560,0.20625270125688067,2015-2020
true_failure_local_t2m_p95,low_veg,2021,0.00641186626903155,0.023826714801444042,0.0444043321299639,4737277.258993913,30056934.48528,756162849.15981,2770,132901162.93727,526,0.1757573293701741,2021-2025
true_failure_local_t2m_p95,low_veg,2022,0.00861717155862502,0.04007220216606498,0.0703971119133574,5358064.382387174,33794613.81112,756162849.15981,2770,161659698.19112,696,0.21378952744206334,2021-2025
true_failure_local_t2m_p95,low_veg,2023,0.009072359127295558,0.026534296028880865,0.03754512635379061,7338439.710470434,41702456.94418,756162849.15981,2770,201080870.43228,681,0.26592270521582173,2021-2025
true_failure_local_t2m_p95,low_veg,2024,0.01470726730497567,0.03790613718411552,0.05776173285198556,12480430.639616303,37521135.154529996,756162849.15981,2770,267636022.52026,988,0.35393966103682106,2021-2025
true_failure_local_t2m_p95,low_veg,2025,0.008318945220530529,0.027617328519855596,0.05667870036101083,6333144.264386522,49097573.33674,756162849.15981,2770,162420150.60278,646,0.21479520024456214,2021-2025
true_failure_t2m_ge25,high_veg,2003,0.004471780710150157,0.012630819198845181,0.02309635510645976,12850265.925796304,77238238.70386,2013762264.75494,2771,329331098.07322997,334,0.1635402072216837,2003-2008
true_failure_t2m_ge25,high_veg,2004,0.004628685296471216,0.01335258029592205,0.024900757849151932,20203397.647773694,105664432.21197,2013762264.75494,2771,461709941.80567,338,0.22927728356348792,2003-2008
true_failure_t2m_ge25,high_veg,2005,0.005350446393548083,0.019307109346806208,0.029953085528690002,21761906.991541088,118559060.98007001,2013762264.75494,2771,542680983.3118,399,0.26948612197668737,2003-2008
true_failure_t2m_ge25,high_veg,2006,0.004832661258688592,0.014435221941537351,0.020931071815229157,14630243.08974413,84922420.20963,2013762264.75494,2771,439894132.28814,376,0.2184439245819674,2003-2008
true_failure_t2m_ge25,high_veg,2007,0.003593115026752232,0.011187297004691447,0.01804402742692169,13114321.623479566,95998689.72838001,2013762264.75494,2771,389967729.76602,293,0.19365132448416209,2003-2008
true_failure_t2m_ge25,high_veg,2008,0.002141747603282444,0.005232767953807289,0.02273547455792133,8388609.75146,100209822.78717001,2013762264.75494,2771,304709073.64485,216,0.15131332976980322,2003-2008
true_failure_t2m_ge25,high_veg,2009,0.007350979869141575,0.019848430169613858,0.03428365211115121,25881753.88701587,102317941.21161,2013762264.75494,2771,510724273.45164,458,0.253616964817737,other
true_failure_t2m_ge25,high_veg,2010,0.005162160889962813,0.013172140021652835,0.0267051605918441,19162938.58603935,138441806.9961,2013762264.75494,2771,519937071.13785,394,0.2581918830429184,other
